epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,336.69,1.72564,3.41251,2.07323,0.0031,0.81162,0.21542,0.10018,1.5324,3.94525,2.1553,0.00022864,0.00022864,0.00022864
2,559.443,1.724,2.98513,1.9344,0.00326,0.82353,0.28447,0.13568,1.71998,3.77191,2.29044,0.000448227,0.000448227,0.000448227
3,777.033,1.73515,2.82091,1.96617,0.48446,0.20683,0.24192,0.09048,1.98566,3.72793,2.6895,0.000643764,0.000643764,0.000643764
4,1058.63,1.69155,2.70962,1.89952,0.12456,0.2621,0.22403,0.08798,1.90125,3.68157,2.64759,0.000815252,0.000815252,0.000815252
5,1326.24,1.69462,2.44225,1.90642,0.54697,0.1672,0.16587,0.07412,1.85567,3.63147,2.57777,0.000962689,0.000962689,0.000962689
6,1555.04,1.72739,2.43522,1.90224,0.24964,0.34272,0.26169,0.07702,2.16203,4.00163,2.66436,0.00107532,0.00107532,0.00107532
7,1795.79,1.6797,2.36596,1.84739,0.3557,0.4083,0.30405,0.09378,2.20225,3.56743,2.83701,0.00100459,0.00100459,0.00100459
8,2026.34,1.65229,2.22846,1.84043,0.3222,0.31148,0.25893,0.10531,1.9433,3.50327,2.56733,0.000933851,0.000933851,0.000933851
9,2256.89,1.62852,2.15431,1.80812,0.41743,0.47115,0.37326,0.16296,1.89403,3.10306,2.55337,0.000863116,0.000863116,0.000863116
10,2487.74,1.60581,2.17233,1.80017,0.50253,0.54664,0.48425,0.18381,2.038,2.74485,2.53678,0.00079238,0.00079238,0.00079238
11,2718.61,1.71809,2.66003,2.07836,0.34624,0.47104,0.25899,0.10742,1.95994,3.20151,2.80621,0.000721645,0.000721645,0.000721645
12,2964.54,1.65647,2.50002,2.08447,0.5517,0.55242,0.54635,0.22097,1.96343,2.44637,2.50894,0.000650909,0.000650909,0.000650909
13,3169.47,1.5932,2.30543,1.96866,0.60642,0.66025,0.57647,0.23961,1.83902,2.43014,2.38889,0.000580174,0.000580174,0.000580174
14,3423.4,1.53786,2.18976,1.93059,0.51896,0.58475,0.55446,0.25669,1.80094,2.33257,2.27194,0.000509438,0.000509438,0.000509438
15,3646.6,1.53816,2.14592,1.90519,0.74017,0.65812,0.68483,0.29617,1.84935,2.14716,2.37905,0.000438703,0.000438703,0.000438703
16,3871.42,1.55507,2.14175,1.88557,0.60929,0.58772,0.62472,0.25793,1.83187,2.21261,2.28415,0.000367967,0.000367967,0.000367967
17,4122.67,1.48178,2.0424,1.8095,0.77916,0.56591,0.65744,0.26832,1.76571,2.1297,2.18652,0.000297232,0.000297232,0.000297232
18,4313.51,1.41705,1.88819,1.77278,0.63064,0.71457,0.69384,0.3111,1.69814,2.05064,2.14048,0.000226497,0.000226497,0.000226497
19,4502.84,1.38084,1.89617,1.73206,0.78342,0.63917,0.72221,0.32607,1.68644,1.98629,2.13361,0.000155761,0.000155761,0.000155761
20,4689.78,1.37648,1.79134,1.71835,0.73542,0.66228,0.72376,0.32424,1.71966,1.91745,2.13291,8.50255e-05,8.50255e-05,8.50255e-05
